MST_DEG,MST_Fn,DMST_DEG,DMST_Fn,Actuator Cylinder_DEG,Actuator Cylinder_Fn,U2DiVA_DEG,U2DiVA_Fn,Cactus_DEG,Cactus_Fn,ARDEMA2D_DEG,ARDEMA2D_Fn,Qblade_DEG,Qblade_Fn
116.8050011,1.055357472,103.8101575,1.304401603,56.50892659,1.397973097,146.7797738,0.869654045,150.41833,0.5875,83.88473054,1.461313801,155,0.352370738
121.1366157,1.038082734,108.4883012,1.27129169,60.14748281,1.432522572,150.41833,0.803434218,156.8291195,0.473774645,87.35002218,1.465632486,160,0.263767405
125.2949656,1.012170628,113.6862386,1.239621338,63.09298071,1.458434678,154.7499446,0.73577483,161.8537924,0.365807536,90.29552007,1.465632486,165,0.17231412
129.7998448,0.983379399,117.1515303,1.218027916,65.86521402,1.481467662,158.5617654,0.66667588,169.8239632,0.217532707,97.39936793,1.445478625,170,0.080515658
134.1314593,0.950269486,121.3098802,1.174841072,70.19682857,1.495863276,161.3339987,0.610532983,175.714959,0.108126036,100.5181304,1.428203888,175,-0.013883285
137.7700155,0.918599134,124.9484365,1.135972913,73.48885562,1.507379768,164.6260257,0.545752718,180.3931027,0.037587525,102.5973054,1.415247835,180,-0.111294346
140.7155134,0.892687028,128.9335218,1.095665193,76.78088268,1.511698452,168.4378465,0.485291137,190.7889776,-0.110687304,107.7952428,1.373500553,185,-0.206535948
143.8342759,0.85525843,132.0522843,1.055357472,81.97882014,1.501621522,172.0764028,0.410433941,203.4372921,-0.188423623,109.8744178,1.353346692,190,-0.249151627
146.9530384,0.82502764,135.517576,1.016489313,85.09758261,1.491544592,175.714959,0.33989543,216.2588711,-0.192742307,114.379297,1.314478533,195,-0.286272493
149.5520071,0.797675972,138.6363384,0.973302469,89.25593258,1.474269854,179.3535152,0.272236042,226.8280106,-0.217214852,118.0178532,1.27129169,200,-0.389910299
152.1509758,0.761686936,141.7551009,0.937313433,94.62713462,1.432522572,182.6455422,0.206016215,238.6100022,-0.220093975,121.6564094,1.220907039,205,-0.439151022
154.0568862,0.721379215,145.2203925,0.888368343,98.09242626,1.406610466,187.323686,0.129719458,264.0798958,-0.250324765,125.2949656,1.170522388,210,-0.409708998
156.4825904,0.698346232,148.1658904,0.842302377,101.2111887,1.374940114,190.0959193,0.080774369,273.9559769,-0.251764327,128.5869927,1.121577299,215,-0.49545207
158.9082945,0.659478073,150.0718008,0.809192464,104.3299512,1.338951078,193.0414172,0.057741386,298.0397538,-0.302148977,132.2255489,1.074071771,220,-0.508784865
161.1607341,0.623489036,152.1509758,0.767445181,106.4091262,1.302962042,195.8136505,0.017433665,334.9451098,-0.292072047,135.3443114,1.02368712,225,-0.550954616
162.8933799,0.584620877,154.9232091,0.724258338,109.5278887,1.27129169,199.4522067,-0.025753179,347.5934243,-0.204258799,137.9432801,0.971862908,230,-0.496447031
164.9725549,0.551510964,156.8291195,0.694027547,112.300122,1.228104846,201.8779108,-0.074698268,358.8556221,0.034708402,141.5818363,0.921478257,235,-0.567431659
167.0517299,0.516961489,159.7746174,0.639324212,115.2456199,1.184918003,203.7838212,-0.094852128,,,144.1808051,0.871093606,240,-0.547895878
168.7843757,0.473774645,162.8933799,0.5875,117.4980594,1.148928966,206.7293191,-0.102049936,,,147.6460967,0.822148517,245,-0.579240521
170.6902861,0.434906486,166.0121424,0.522719735,119.750499,1.11293993,208.6352295,-0.120764234,,,149.8985363,0.770324304,250,-0.580181913
