Export File Created with QBlade v0.96 64bit on 09.07.2020 at 17:39:04
_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,
Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],
2.15000e+02,6.86279e+01,
2.20000e+02,5.13106e+01,
2.25000e+02,8.38986e+01,
2.30000e+02,7.69331e+01,
2.35000e+02,1.06252e+02,
2.40000e+02,9.79963e+01,
2.45000e+02,1.05400e+02,
2.50000e+02,1.04649e+02,
2.55000e+02,1.05387e+02,
2.60000e+02,1.00308e+02,
2.65000e+02,9.32006e+01,
2.70000e+02,3.64450e+01,
2.75000e+02,7.70785e+01,
2.80000e+02,4.58335e+01,
2.85000e+02,8.05846e+01,
2.90000e+02,3.80400e+01,
2.95000e+02,1.02972e+02,
3.00000e+02,3.35909e+01,
3.05000e+02,7.66362e+01,
3.10000e+02,4.22436e+01,
3.15000e+02,6.99831e+01,
3.20000e+02,4.69322e+01,
3.25000e+02,2.84344e+01,
3.30000e+02,2.49980e+01,
3.35000e+02,2.35249e+01,
3.40000e+02,1.25689e+01,
3.45000e+02,1.44032e+01,
3.50000e+02,-3.26175e+00,
3.55000e+02,-7.95318e+00,
0.00000e+00,-1.70066e+01,
5.00000e+00,-2.11384e+01,
1.00000e+01,-2.21170e+01,
1.50000e+01,-1.98080e+01,
2.00000e+01,-1.27289e+01,
2.50000e+01,-2.49699e+00,
3.00000e+01,1.05619e+01,
3.50000e+01,2.49323e+01,
4.00000e+01,3.86945e+01,
4.50000e+01,5.17150e+01,
5.00000e+01,6.49477e+01,
5.50000e+01,7.67964e+01,
6.00000e+01,9.71618e+01,
6.50000e+01,1.08150e+02,
7.00000e+01,1.27772e+02,
7.50000e+01,1.38270e+02,
8.00000e+01,1.42516e+02,
8.50000e+01,1.52479e+02,
9.00000e+01,1.39780e+02,
9.50000e+01,1.48834e+02,
1.00000e+02,1.32187e+02,
1.05000e+02,1.29082e+02,
1.10000e+02,1.12316e+02,
1.15000e+02,1.02918e+02,
1.20000e+02,8.81412e+01,
1.25000e+02,7.25837e+01,
1.30000e+02,6.14350e+01,
1.35000e+02,4.71670e+01,
1.40000e+02,3.91421e+01,
1.45000e+02,2.96364e+01,
1.50000e+02,2.18683e+01,
1.55000e+02,1.33904e+01,
1.60000e+02,4.05721e+00,
1.65000e+02,-2.93347e+00,
1.70000e+02,-7.76472e+00,
1.75000e+02,-9.76093e+00,
1.80000e+02,-8.20173e+00,
1.85000e+02,-2.38747e+00,
1.90000e+02,3.93762e+00,
1.95000e+02,1.63688e+01,
2.00000e+02,2.45890e+01,
2.05000e+02,3.57189e+01,
