Export File Created with QBlade v0.96 64bit on 09.07.2020 at 18:18:47
_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.14 ua 4-2,_TSR4.5 solidity=0.14 ua 4-2,
Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],
1.65000e+02,1.63102e+00,1.65000e+02,6.93460e-01,
1.70000e+02,5.22268e-01,1.70000e+02,-4.98162e-01,
1.75000e+02,-6.88482e-01,1.75000e+02,-1.76304e+00,
1.80000e+02,-1.98789e+00,1.80000e+02,-2.95475e+00,
1.85000e+02,-3.21530e+00,1.85000e+02,-4.12205e+00,
1.90000e+02,-4.20433e+00,1.90000e+02,-5.19674e+00,
1.95000e+02,-5.36728e+00,1.95000e+02,-6.05177e+00,
2.00000e+02,-6.40982e+00,2.00000e+02,-6.66808e+00,
2.05000e+02,-7.33362e+00,2.05000e+02,-6.55477e+00,
2.10000e+02,-7.98544e+00,2.10000e+02,-6.22196e+00,
2.15000e+02,-8.12201e+00,2.15000e+02,-7.19065e+00,
2.20000e+02,-8.92930e+00,2.20000e+02,-7.87126e+00,
2.25000e+02,-7.34526e+00,2.25000e+02,-7.71267e+00,
2.30000e+02,-9.80055e+00,2.30000e+02,-8.11111e+00,
2.35000e+02,-1.03760e+01,2.35000e+02,-1.02338e+01,
2.40000e+02,-1.07944e+01,2.40000e+02,-1.11690e+01,
2.45000e+02,-1.08959e+01,2.45000e+02,-1.06633e+01,
2.50000e+02,-1.09540e+01,2.50000e+02,-8.29196e+00,
2.55000e+02,-1.08585e+01,2.55000e+02,-1.14123e+01,
2.60000e+02,-1.07463e+01,2.60000e+02,-1.25487e+01,
2.65000e+02,-1.09529e+01,2.65000e+02,-1.35936e+01,
2.70000e+02,-1.38868e+01,2.70000e+02,-1.33845e+01,
2.75000e+02,-8.91673e+00,2.75000e+02,-1.27957e+01,
2.80000e+02,-1.24179e+01,2.80000e+02,-1.20440e+01,
2.85000e+02,-1.87740e+01,2.85000e+02,-1.02494e+01,
2.90000e+02,-2.23328e+00,2.90000e+02,-6.51310e+00,
2.95000e+02,-5.04110e+00,2.95000e+02,-7.32992e+00,
3.00000e+02,-9.06269e+00,3.00000e+02,-8.51889e+00,
3.05000e+02,-9.32033e+00,3.05000e+02,-6.99547e+00,
3.10000e+02,-8.45180e+00,3.10000e+02,-5.89263e+00,
3.15000e+02,-7.74056e+00,3.15000e+02,-6.76698e+00,
3.20000e+02,-6.21756e+00,3.20000e+02,-6.94879e+00,
3.25000e+02,-6.23305e+00,3.25000e+02,-5.61949e+00,
3.30000e+02,-6.06826e+00,3.30000e+02,-4.73661e+00,
3.35000e+02,-5.80438e+00,3.35000e+02,-4.92240e+00,
3.40000e+02,-4.39363e+00,3.40000e+02,-4.92652e+00,
3.45000e+02,-4.34739e+00,3.45000e+02,-4.00598e+00,
3.50000e+02,-3.45635e+00,3.50000e+02,-3.86755e+00,
3.55000e+02,-2.89371e+00,3.55000e+02,-3.38254e+00,
0.00000e+00,-2.04106e+00,0.00000e+00,-2.74989e+00,
5.00000e+00,-1.22627e+00,5.00000e+00,-2.14487e+00,
1.00000e+01,-5.84775e-01,1.00000e+01,-1.26945e+00,
1.50000e+01,2.69216e-01,1.50000e+01,-3.63057e-01,
2.00000e+01,1.19604e+00,2.00000e+01,4.04835e-01,
2.50000e+01,1.97872e+00,2.50000e+01,1.31866e+00,
3.00000e+01,2.71887e+00,3.00000e+01,2.07511e+00,
3.50000e+01,3.43612e+00,3.50000e+01,2.79121e+00,
4.00000e+01,4.17092e+00,4.00000e+01,3.47581e+00,
4.50000e+01,4.90731e+00,4.50000e+01,4.16027e+00,
5.00000e+01,5.62292e+00,5.00000e+01,4.84347e+00,
5.50000e+01,6.27606e+00,5.50000e+01,5.50983e+00,
6.00000e+01,6.88074e+00,6.00000e+01,6.11209e+00,
6.50000e+01,7.28614e+00,6.50000e+01,6.67402e+00,
7.00000e+01,7.77520e+00,7.00000e+01,7.12716e+00,
7.50000e+01,8.05454e+00,7.50000e+01,7.48505e+00,
8.00000e+01,8.39655e+00,8.00000e+01,7.74454e+00,
8.50000e+01,8.71976e+00,8.50000e+01,7.96101e+00,
9.00000e+01,8.95539e+00,9.00000e+01,8.24155e+00,
9.50000e+01,9.23854e+00,9.50000e+01,8.42665e+00,
1.00000e+02,9.32733e+00,1.00000e+02,8.46057e+00,
1.05000e+02,9.40356e+00,1.05000e+02,8.56838e+00,
1.10000e+02,9.36253e+00,1.10000e+02,8.39665e+00,
1.15000e+02,9.24835e+00,1.15000e+02,8.36212e+00,
1.20000e+02,8.94555e+00,1.20000e+02,7.97448e+00,
1.25000e+02,8.55799e+00,1.25000e+02,7.61011e+00,
1.30000e+02,8.12371e+00,1.30000e+02,7.10861e+00,
1.35000e+02,7.44716e+00,1.35000e+02,6.54488e+00,
1.40000e+02,6.75803e+00,1.40000e+02,5.78587e+00,
1.45000e+02,5.81063e+00,1.45000e+02,4.85650e+00,
1.50000e+02,4.83024e+00,1.50000e+02,3.84931e+00,
1.55000e+02,3.71668e+00,1.55000e+02,2.81639e+00,
1.60000e+02,2.62304e+00,1.60000e+02,1.78294e+00,
1.65000e+02,1.59022e+00,1.65000e+02,6.86059e-01,
1.70000e+02,4.70294e-01,1.70000e+02,-5.17875e-01,
1.75000e+02,-7.50002e-01,1.75000e+02,-1.75683e+00,
1.80000e+02,-2.05772e+00,1.80000e+02,-2.91492e+00,
1.85000e+02,-3.29247e+00,1.85000e+02,-4.08923e+00,
1.90000e+02,-4.14510e+00,1.90000e+02,-5.17508e+00,
1.95000e+02,-5.32935e+00,1.95000e+02,-6.02300e+00,
2.00000e+02,-6.43996e+00,2.00000e+02,-6.62408e+00,
2.05000e+02,-7.29138e+00,2.05000e+02,-6.66004e+00,
2.10000e+02,-7.81603e+00,2.10000e+02,-6.61016e+00,
2.15000e+02,-8.17993e+00,2.15000e+02,-7.16727e+00,
2.20000e+02,-8.33539e+00,2.20000e+02,-7.79627e+00,
2.25000e+02,-7.14955e+00,2.25000e+02,-7.87152e+00,
2.30000e+02,-8.96273e+00,2.30000e+02,-8.18029e+00,
2.35000e+02,-9.47564e+00,2.35000e+02,-9.55029e+00,
2.40000e+02,-1.03102e+01,2.40000e+02,-1.20681e+01,
2.45000e+02,-1.06020e+01,2.45000e+02,-1.15042e+01,
2.50000e+02,-1.10650e+01,2.50000e+02,-9.04268e+00,
2.55000e+02,-1.13294e+01,2.55000e+02,-6.54495e+00,
2.60000e+02,-1.17900e+01,2.60000e+02,-6.79019e+00,
2.65000e+02,-1.20178e+01,2.65000e+02,-9.86186e+00,
2.70000e+02,-1.23459e+01,2.70000e+02,-4.68492e+00,
2.75000e+02,-1.05639e+01,2.75000e+02,-1.00981e+01,
2.80000e+02,-1.07182e+01,2.80000e+02,-1.36493e+01,
2.85000e+02,-9.04018e+00,2.85000e+02,-1.28982e+01,
2.90000e+02,-2.62368e+00,2.90000e+02,-9.34413e+00,
2.95000e+02,-5.21218e-01,2.95000e+02,-8.91682e+00,
3.00000e+02,-2.94798e+00,3.00000e+02,-8.55751e+00,
3.05000e+02,-1.23910e+01,3.05000e+02,-8.34199e+00,
3.10000e+02,-9.23122e+00,3.10000e+02,-6.61759e+00,
3.15000e+02,-6.76060e+00,3.15000e+02,-6.60959e+00,
3.20000e+02,-7.90917e+00,3.20000e+02,-7.21914e+00,
3.25000e+02,-4.70453e+00,3.25000e+02,-5.86471e+00,
3.30000e+02,-5.42785e+00,3.30000e+02,-4.82312e+00,
3.35000e+02,-5.09224e+00,3.35000e+02,-4.76885e+00,
3.40000e+02,-4.38420e+00,3.40000e+02,-4.62240e+00,
