Export File Created with QBlade v0.96 64bit on 09.07.2020 at 17:39:15
_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,
Azimuthal Position Blade 1 [deg],Total Normal Load Blade 1 [N],
8.50000e+01,1.12088e+03,
9.00000e+01,1.01125e+03,
9.50000e+01,1.04360e+03,
1.00000e+02,9.37839e+02,
1.05000e+02,9.03396e+02,
1.10000e+02,8.00751e+02,
1.15000e+02,7.33233e+02,
1.20000e+02,6.44388e+02,
1.25000e+02,5.56633e+02,
1.30000e+02,4.95911e+02,
1.35000e+02,4.23050e+02,
1.40000e+02,3.89398e+02,
1.45000e+02,3.56169e+02,
1.50000e+02,3.25852e+02,
1.55000e+02,2.82339e+02,
1.60000e+02,2.02822e+02,
1.65000e+02,1.18991e+02,
1.70000e+02,3.01130e+01,
1.75000e+02,-5.59674e+01,
1.80000e+02,-1.65863e+02,
1.85000e+02,-2.75213e+02,
1.90000e+02,-3.39577e+02,
1.95000e+02,-3.97438e+02,
2.00000e+02,-5.00481e+02,
2.05000e+02,-6.30315e+02,
2.10000e+02,-8.17935e+02,
2.15000e+02,-9.23199e+02,
2.20000e+02,-7.96524e+02,
2.25000e+02,-1.06353e+03,
2.30000e+02,-9.27755e+02,
2.35000e+02,-9.43062e+02,
2.40000e+02,-8.78732e+02,
2.45000e+02,-8.90623e+02,
2.50000e+02,-8.93981e+02,
2.55000e+02,-8.94773e+02,
2.60000e+02,-9.27257e+02,
2.65000e+02,-9.72786e+02,
2.70000e+02,-9.95489e+02,
2.75000e+02,-9.16432e+02,
2.80000e+02,-1.13574e+03,
2.85000e+02,-6.14745e+02,
2.90000e+02,-6.11326e+02,
2.95000e+02,-5.56091e+02,
3.00000e+02,-8.69538e+02,
3.05000e+02,-8.97743e+02,
3.10000e+02,-8.13048e+02,
3.15000e+02,-8.02749e+02,
3.20000e+02,-6.11544e+02,
3.25000e+02,-6.98790e+02,
3.30000e+02,-7.18103e+02,
3.35000e+02,-7.05741e+02,
3.40000e+02,-6.64881e+02,
3.45000e+02,-7.02995e+02,
3.50000e+02,-6.25102e+02,
3.55000e+02,-5.52936e+02,
0.00000e+00,-4.00742e+02,
5.00000e+00,-2.44328e+02,
1.00000e+01,-1.02827e+02,
1.50000e+01,4.08972e+01,
2.00000e+01,2.03939e+02,
2.50000e+01,3.61787e+02,
3.00000e+01,4.99894e+02,
3.50000e+01,6.19101e+02,
4.00000e+01,7.00582e+02,
4.50000e+01,7.48971e+02,
5.00000e+01,7.91428e+02,
5.50000e+01,8.23460e+02,
6.00000e+01,9.13732e+02,
6.50000e+01,9.48704e+02,
7.00000e+01,1.03281e+03,
7.50000e+01,1.07296e+03,
8.00000e+01,1.08037e+03,
8.50000e+01,1.10808e+03,
9.00000e+01,1.03359e+03,
9.50000e+01,1.03329e+03,
1.00000e+02,9.54721e+02,
1.05000e+02,8.94726e+02,
1.10000e+02,7.94322e+02,
1.15000e+02,7.24472e+02,
1.20000e+02,6.46270e+02,
1.25000e+02,5.48031e+02,
1.30000e+02,4.94893e+02,
1.35000e+02,4.21686e+02,
1.40000e+02,3.90257e+02,
1.45000e+02,3.56220e+02,
1.50000e+02,3.26339e+02,
1.55000e+02,2.82100e+02,
1.60000e+02,2.01647e+02,
