Export File Created with QBlade v0.96 64bit on 03.07.2020 at 17:57:48
TSR4.5 solidity=0.10 UA VL ICS1.1 WRF0.45 MW3,TSR4.5 solidity=0.10 UA VL ICS1.1 WRF0.45 MW3,
Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],
1.30000e+02,7.60293e+00,
1.35000e+02,3.96343e+00,
1.40000e+02,5.58486e+00,
1.45000e+02,3.47181e+00,
1.50000e+02,2.96286e+00,
1.55000e+02,2.01221e+00,
1.60000e+02,1.41409e+00,
1.65000e+02,2.91007e-01,
1.70000e+02,-5.26200e-01,
1.75000e+02,-1.70926e+00,
1.80000e+02,-2.67581e+00,
1.85000e+02,-4.08990e+00,
1.90000e+02,-5.90126e+00,
1.95000e+02,-7.90989e+00,
2.00000e+02,-5.70503e+00,
2.05000e+02,-1.38813e+00,
2.10000e+02,-3.43842e+00,
2.15000e+02,-4.73056e+00,
2.20000e+02,-5.66057e+00,
2.25000e+02,-4.21183e+00,
2.30000e+02,-5.04173e+00,
2.35000e+02,-5.65750e+00,
2.40000e+02,-5.52178e+00,
2.45000e+02,-5.90062e+00,
2.50000e+02,-6.15914e+00,
2.55000e+02,-5.98720e+00,
2.60000e+02,-6.20808e+00,
2.65000e+02,-5.49349e+00,
2.70000e+02,-1.02601e+00,
2.75000e+02,-3.40189e+00,
2.80000e+02,-9.40787e-01,
2.85000e+02,-3.84825e+00,
2.90000e+02,-3.24058e+00,
2.95000e+02,-5.10689e+00,
3.00000e+02,-6.56294e+00,
3.05000e+02,-5.47068e+00,
3.10000e+02,-6.11304e+00,
3.15000e+02,-6.34814e+00,
3.20000e+02,-5.99416e+00,
3.25000e+02,-5.74612e+00,
3.30000e+02,-5.21483e+00,
3.35000e+02,-4.87826e+00,
3.40000e+02,-4.90757e+00,
3.45000e+02,-4.74355e+00,
3.50000e+02,-4.25855e+00,
3.55000e+02,-2.82572e+00,
0.00000e+00,-3.38381e+00,
5.00000e+00,-1.59885e+00,
1.00000e+01,-1.79471e+00,
1.50000e+01,-6.71177e-01,
2.00000e+01,-4.24381e-01,
2.50000e+01,6.84403e-01,
3.00000e+01,1.23764e+00,
3.50000e+01,2.15746e+00,
4.00000e+01,2.67264e+00,
4.50000e+01,3.47183e+00,
5.00000e+01,4.16057e+00,
5.50000e+01,5.03194e+00,
6.00000e+01,5.69398e+00,
6.50000e+01,6.28434e+00,
7.00000e+01,6.72695e+00,
7.50000e+01,6.53442e+00,
8.00000e+01,7.85197e+00,
8.50000e+01,6.30684e+00,
9.00000e+01,9.03958e+00,
9.50000e+01,5.76028e+00,
1.00000e+02,9.73605e+00,
1.05000e+02,5.51747e+00,
1.10000e+02,9.93746e+00,
1.15000e+02,5.30045e+00,
1.20000e+02,9.28600e+00,
1.25000e+02,4.87183e+00,
1.30000e+02,7.86761e+00,
1.35000e+02,4.01138e+00,
1.40000e+02,6.00505e+00,
1.45000e+02,4.75520e+00,
1.50000e+02,3.44546e+00,
1.55000e+02,2.27501e+00,
1.60000e+02,7.82034e-01,
1.65000e+02,-5.20809e-02,
1.70000e+02,-1.02600e+00,
1.75000e+02,-2.43684e+00,
1.80000e+02,-3.68082e+00,
1.85000e+02,-3.89566e+00,
1.90000e+02,-5.88799e+00,
1.95000e+02,-3.99895e+00,
2.00000e+02,-3.23942e+00,
2.05000e+02,-6.50350e+00,
2.10000e+02,-6.10588e+00,
2.15000e+02,-5.47308e+00,
2.20000e+02,-5.69489e+00,
2.25000e+02,-8.41941e-01,
2.30000e+02,-2.05373e+00,
2.35000e+02,-4.83559e+00,
2.40000e+02,-4.17607e+00,
2.45000e+02,-3.22223e+00,
2.50000e+02,-7.55860e-01,
2.55000e+02,-3.45033e+00,
2.60000e+02,-2.69203e+00,
2.65000e+02,-3.69932e+00,
2.70000e+02,-2.89343e+00,
2.75000e+02,-3.04024e+00,
2.80000e+02,-4.40718e+00,
2.85000e+02,-5.75323e+00,
2.90000e+02,-6.31701e+00,
2.95000e+02,-6.60930e+00,
3.00000e+02,-1.38925e+00,
3.05000e+02,-7.97560e+00,
