Export File Created with QBlade v0.96 64bit on 09.07.2020 at 18:19:05
_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.14 ua 4-2,_TSR4.5 solidity=0.14 ua 4-2,
Azimuthal Position Blade 1 [deg],Total Normal Load Blade 1 [N],Azimuthal Position Blade 1 [deg],Total Normal Load Blade 1 [N],
1.15000e+02,7.22898e+02,1.15000e+02,9.72717e+02,
1.20000e+02,6.56094e+02,1.20000e+02,8.64573e+02,
1.25000e+02,5.50905e+02,1.25000e+02,7.72456e+02,
1.30000e+02,4.92906e+02,1.30000e+02,6.49210e+02,
1.35000e+02,4.17133e+02,1.35000e+02,5.66638e+02,
1.40000e+02,3.91401e+02,1.40000e+02,5.29695e+02,
1.45000e+02,3.54282e+02,1.45000e+02,4.79330e+02,
1.50000e+02,3.26449e+02,1.50000e+02,4.15265e+02,
1.55000e+02,2.83889e+02,1.55000e+02,3.09730e+02,
1.60000e+02,2.05408e+02,1.60000e+02,1.85013e+02,
1.65000e+02,1.20969e+02,1.65000e+02,5.37528e+01,
1.70000e+02,3.08656e+01,1.70000e+02,-7.69085e+01,
1.75000e+02,-5.86423e+01,1.75000e+02,-2.46985e+02,
1.80000e+02,-1.77217e+02,1.80000e+02,-4.18281e+02,
1.85000e+02,-2.95522e+02,1.85000e+02,-5.24484e+02,
1.90000e+02,-3.65840e+02,1.90000e+02,-6.16224e+02,
1.95000e+02,-4.47569e+02,1.95000e+02,-6.80388e+02,
2.00000e+02,-4.88882e+02,2.00000e+02,-7.52113e+02,
2.05000e+02,-5.75423e+02,2.05000e+02,-7.41079e+02,
2.10000e+02,-8.11924e+02,2.10000e+02,-7.68057e+02,
2.15000e+02,-8.24935e+02,2.15000e+02,-9.25347e+02,
2.20000e+02,-1.03716e+03,2.20000e+02,-1.06181e+03,
2.25000e+02,-9.49738e+02,2.25000e+02,-1.01566e+03,
2.30000e+02,-9.80215e+02,2.30000e+02,-1.06634e+03,
2.35000e+02,-8.82015e+02,2.35000e+02,-1.18901e+03,
2.40000e+02,-8.79121e+02,2.40000e+02,-1.50337e+03,
2.45000e+02,-8.66493e+02,2.45000e+02,-1.42592e+03,
2.50000e+02,-8.67930e+02,2.50000e+02,-1.06821e+03,
2.55000e+02,-8.64560e+02,2.55000e+02,-1.46884e+03,
2.60000e+02,-8.51551e+02,2.60000e+02,-1.52585e+03,
2.65000e+02,-8.59281e+02,2.65000e+02,-1.64795e+03,
2.70000e+02,-1.03207e+03,2.70000e+02,-1.65312e+03,
2.75000e+02,-1.00903e+03,2.75000e+02,-1.46142e+03,
2.80000e+02,-1.21303e+03,2.80000e+02,-1.53337e+03,
2.85000e+02,-7.35105e+02,2.85000e+02,-1.79033e+03,
2.90000e+02,-5.54195e+02,2.90000e+02,-1.31387e+03,
2.95000e+02,-6.80904e+02,2.95000e+02,-9.41382e+02,
3.00000e+02,-7.74068e+02,3.00000e+02,-1.00118e+03,
3.05000e+02,-8.86481e+02,3.05000e+02,-7.75228e+02,
3.10000e+02,-8.26830e+02,3.10000e+02,-7.19574e+02,
3.15000e+02,-7.96830e+02,3.15000e+02,-9.21825e+02,
3.20000e+02,-6.69206e+02,3.20000e+02,-1.00917e+03,
3.25000e+02,-7.14084e+02,3.25000e+02,-8.82903e+02,
3.30000e+02,-7.30837e+02,3.30000e+02,-8.63561e+02,
3.35000e+02,-7.11621e+02,3.35000e+02,-9.27785e+02,
3.40000e+02,-6.61883e+02,3.40000e+02,-9.70707e+02,
3.45000e+02,-7.06318e+02,3.45000e+02,-9.24481e+02,
3.50000e+02,-6.16964e+02,3.50000e+02,-9.34564e+02,
3.55000e+02,-5.49222e+02,3.55000e+02,-9.04158e+02,
0.00000e+00,-4.07116e+02,0.00000e+00,-7.58955e+02,
5.00000e+00,-2.63226e+02,5.00000e+00,-6.07669e+02,
1.00000e+01,-1.35429e+02,1.00000e+01,-3.61583e+02,
1.50000e+01,1.97933e+01,1.50000e+01,-1.09440e+02,
2.00000e+01,1.98045e+02,2.00000e+01,6.13099e+01,
2.50000e+01,3.56982e+02,2.50000e+01,3.05155e+02,
3.00000e+01,4.98755e+02,3.00000e+01,5.16500e+02,
3.50000e+01,6.18242e+02,3.50000e+01,7.06756e+02,
4.00000e+01,7.00289e+02,4.00000e+01,8.61138e+02,
4.50000e+01,7.48912e+02,4.50000e+01,9.62372e+02,
5.00000e+01,7.92201e+02,5.00000e+01,1.02400e+03,
5.50000e+01,8.24090e+02,5.50000e+01,1.07664e+03,
6.00000e+01,9.16765e+02,6.00000e+01,1.11372e+03,
6.50000e+01,9.48712e+02,6.50000e+01,1.18230e+03,
7.00000e+01,1.03928e+03,7.00000e+01,1.27237e+03,
7.50000e+01,1.07599e+03,7.50000e+01,1.37866e+03,
8.00000e+01,1.09137e+03,8.00000e+01,1.45138e+03,
8.50000e+01,1.10462e+03,8.50000e+01,1.42024e+03,
9.00000e+01,1.05046e+03,9.00000e+01,1.37298e+03,
9.50000e+01,1.02785e+03,9.50000e+01,1.35270e+03,
1.00000e+02,9.62670e+02,1.00000e+02,1.22234e+03,
1.05000e+02,8.91602e+02,1.05000e+02,1.19025e+03,
1.10000e+02,7.93552e+02,1.10000e+02,1.01149e+03,
1.15000e+02,7.23863e+02,1.15000e+02,9.74436e+02,
1.20000e+02,6.51228e+02,1.20000e+02,8.58269e+02,
1.25000e+02,5.52164e+02,1.25000e+02,7.67522e+02,
1.30000e+02,4.94529e+02,1.30000e+02,6.47114e+02,
1.35000e+02,4.20907e+02,1.35000e+02,5.68839e+02,
1.40000e+02,3.90892e+02,1.40000e+02,5.28196e+02,
1.45000e+02,3.55313e+02,1.45000e+02,4.79019e+02,
1.50000e+02,3.26065e+02,1.50000e+02,4.15841e+02,
1.55000e+02,2.82331e+02,1.55000e+02,3.11049e+02,
1.60000e+02,2.01954e+02,1.60000e+02,1.85210e+02,
1.65000e+02,1.17022e+02,1.65000e+02,5.31117e+01,
1.70000e+02,2.65329e+01,1.70000e+02,-7.80392e+01,
1.75000e+02,-6.47004e+01,1.75000e+02,-2.42077e+02,
1.80000e+02,-1.85140e+02,1.80000e+02,-4.05563e+02,
1.85000e+02,-3.02725e+02,1.85000e+02,-5.17135e+02,
1.90000e+02,-3.67203e+02,1.90000e+02,-6.11110e+02,
1.95000e+02,-4.48962e+02,1.95000e+02,-6.77818e+02,
2.00000e+02,-4.83462e+02,2.00000e+02,-7.43092e+02,
2.05000e+02,-5.48558e+02,2.05000e+02,-7.84025e+02,
2.10000e+02,-6.00824e+02,2.10000e+02,-8.18418e+02,
2.15000e+02,-7.09685e+02,2.15000e+02,-9.22069e+02,
2.20000e+02,-7.44299e+02,2.20000e+02,-1.02791e+03,
2.25000e+02,-8.32525e+02,2.25000e+02,-1.04110e+03,
2.30000e+02,-9.96866e+02,2.30000e+02,-1.11117e+03,
2.35000e+02,-9.43928e+02,2.35000e+02,-1.19283e+03,
2.40000e+02,-9.92825e+02,2.40000e+02,-1.44580e+03,
2.45000e+02,-9.49922e+02,2.45000e+02,-1.45152e+03,
2.50000e+02,-9.38257e+02,2.50000e+02,-8.71899e+02,
2.55000e+02,-9.09135e+02,2.55000e+02,-3.16237e+02,
2.60000e+02,-9.40565e+02,2.60000e+02,-1.17095e+03,
2.65000e+02,-9.44993e+02,2.65000e+02,-1.44734e+03,
2.70000e+02,-9.69324e+02,2.70000e+02,-8.46566e+02,
2.75000e+02,-9.34573e+02,2.75000e+02,-8.81791e+02,
2.80000e+02,-9.83841e+02,2.80000e+02,-9.09373e+02,
