Export File Created with QBlade v0.96 64bit on 09.07.2020 at 19:00:53
_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.14 6panel,_TSR4.5 solidity=0.14 6panel,_TSR4.5 solidity=0.14 6panel UAVL,_TSR4.5 solidity=0.14 6panel UAVL,_TSR4.5 solidity=0.14 ua 4-2,_TSR4.5 solidity=0.14 ua 4-2,
Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],
2.85000e+02,1.12042e+02,2.85000e+02,1.03740e+02,2.85000e+02,1.29176e+02,2.85000e+02,1.39461e+02,2.85000e+02,1.36191e+02,
2.90000e+02,1.05047e+02,2.90000e+02,9.71196e+01,2.90000e+02,1.19913e+02,2.90000e+02,1.28999e+02,2.90000e+02,1.27351e+02,
2.95000e+02,9.70129e+01,2.95000e+02,8.87896e+01,2.95000e+02,1.10386e+02,2.95000e+02,1.15608e+02,2.95000e+02,1.16133e+02,
3.00000e+02,8.79898e+01,3.00000e+02,7.91005e+01,3.00000e+02,9.97068e+01,3.00000e+02,1.01311e+02,3.00000e+02,1.02825e+02,
3.05000e+02,7.79054e+01,3.05000e+02,6.12214e+01,3.05000e+02,8.61722e+01,3.05000e+02,7.55835e+01,3.05000e+02,7.99562e+01,
3.10000e+02,6.64255e+01,3.10000e+02,5.55500e+01,3.10000e+02,7.02897e+01,3.10000e+02,6.87408e+01,3.10000e+02,6.82524e+01,
3.15000e+02,5.43846e+01,3.15000e+02,4.14326e+01,3.15000e+02,5.41163e+01,3.15000e+02,4.51990e+01,3.15000e+02,4.96329e+01,
3.20000e+02,4.38660e+01,3.20000e+02,3.31918e+01,3.20000e+02,4.05841e+01,3.20000e+02,3.62816e+01,3.20000e+02,4.07804e+01,
3.25000e+02,3.91915e+01,3.25000e+02,3.15654e+01,3.25000e+02,3.53773e+01,3.25000e+02,3.01411e+01,3.25000e+02,3.28828e+01,
3.30000e+02,3.84759e+01,3.30000e+02,3.74916e+01,3.30000e+02,3.54150e+01,3.30000e+02,3.16819e+01,3.30000e+02,3.54916e+01,
3.35000e+02,2.47706e+01,3.35000e+02,2.00868e+01,3.35000e+02,2.79710e+01,3.35000e+02,2.50928e+01,3.35000e+02,2.79902e+01,
3.40000e+02,1.11313e+01,3.40000e+02,6.66984e+00,3.40000e+02,1.06352e+01,3.40000e+02,8.97961e+00,3.40000e+02,1.56063e+01,
3.45000e+02,6.30005e+00,3.45000e+02,4.50693e+00,3.45000e+02,4.02446e+00,3.45000e+02,4.52172e+00,3.45000e+02,1.02343e+01,
3.50000e+02,-3.30296e+00,3.50000e+02,-5.38453e+00,3.50000e+02,-5.70253e+00,3.50000e+02,-2.92994e+00,3.50000e+02,-4.07066e+00,
3.55000e+02,-1.03228e+01,3.55000e+02,-1.16408e+01,3.55000e+02,-1.74216e+01,3.55000e+02,-1.34516e+01,3.55000e+02,-9.87011e+00,
0.00000e+00,-1.80176e+01,0.00000e+00,-1.87326e+01,0.00000e+00,-2.59810e+01,0.00000e+00,-2.14388e+01,0.00000e+00,-1.82154e+01,
5.00000e+00,-2.20136e+01,5.00000e+00,-2.19282e+01,5.00000e+00,-3.24090e+01,5.00000e+00,-3.14088e+01,5.00000e+00,-2.96572e+01,
1.00000e+01,-2.20699e+01,1.00000e+01,-2.19903e+01,1.00000e+01,-3.38907e+01,1.00000e+01,-3.33149e+01,1.00000e+01,-3.33129e+01,
1.50000e+01,-1.83752e+01,1.50000e+01,-1.85088e+01,1.50000e+01,-3.09140e+01,1.50000e+01,-3.11593e+01,1.50000e+01,-3.16042e+01,
2.00000e+01,-1.00643e+01,2.00000e+01,-1.08697e+01,2.00000e+01,-2.35351e+01,2.00000e+01,-2.41219e+01,2.00000e+01,-2.46322e+01,
2.50000e+01,1.59987e+00,2.50000e+01,-3.15012e-01,2.50000e+01,-1.00263e+01,2.50000e+01,-1.04091e+01,2.50000e+01,-1.07734e+01,
3.00000e+01,1.61310e+01,3.00000e+01,1.27120e+01,3.00000e+01,6.97151e+00,3.00000e+01,6.39579e+00,3.00000e+01,6.66161e+00,
3.50000e+01,3.14063e+01,3.50000e+01,2.69853e+01,3.50000e+01,2.70893e+01,3.50000e+01,2.60343e+01,3.50000e+01,2.70231e+01,
4.00000e+01,4.54110e+01,4.00000e+01,4.04604e+01,4.00000e+01,4.75929e+01,4.00000e+01,4.61329e+01,4.00000e+01,4.74074e+01,
4.50000e+01,5.93547e+01,4.50000e+01,5.34057e+01,4.50000e+01,6.62291e+01,4.50000e+01,6.43291e+01,4.50000e+01,6.60124e+01,
5.00000e+01,7.29507e+01,5.00000e+01,6.66160e+01,5.00000e+01,8.37112e+01,5.00000e+01,8.19558e+01,5.00000e+01,8.32365e+01,
5.50000e+01,8.51990e+01,5.50000e+01,7.83090e+01,5.50000e+01,1.00420e+02,5.50000e+01,9.93375e+01,5.50000e+01,1.00815e+02,
6.00000e+01,9.61805e+01,6.00000e+01,1.00092e+02,6.00000e+01,1.15466e+02,6.00000e+01,1.14279e+02,6.00000e+01,1.16260e+02,
6.50000e+01,1.05582e+02,6.50000e+01,1.09434e+02,6.50000e+01,1.28264e+02,6.50000e+01,1.34184e+02,6.50000e+01,1.36553e+02,
7.00000e+01,1.13187e+02,7.00000e+01,1.32048e+02,7.00000e+01,1.38753e+02,7.00000e+01,1.55970e+02,7.00000e+01,1.58419e+02,
7.50000e+01,1.19089e+02,7.50000e+01,1.38362e+02,7.50000e+01,1.46815e+02,7.50000e+01,1.74603e+02,7.50000e+01,1.83545e+02,
8.00000e+01,1.23246e+02,8.00000e+01,1.48333e+02,8.00000e+01,1.52423e+02,8.00000e+01,1.96108e+02,8.00000e+01,1.98695e+02,
8.50000e+01,1.25556e+02,8.50000e+01,1.48875e+02,8.50000e+01,1.55553e+02,8.50000e+01,1.98807e+02,8.50000e+01,1.98986e+02,
9.00000e+01,1.25935e+02,9.00000e+01,1.51268e+02,9.00000e+01,1.56155e+02,9.00000e+01,2.01090e+02,9.00000e+01,1.97587e+02,
9.50000e+01,1.24365e+02,9.50000e+01,1.42650e+02,9.50000e+01,1.54273e+02,9.50000e+01,1.97637e+02,9.50000e+01,1.97362e+02,
1.00000e+02,1.20985e+02,1.00000e+02,1.38601e+02,1.00000e+02,1.49988e+02,1.00000e+02,1.90939e+02,1.00000e+02,1.77657e+02,
