Export File Created with QBlade v0.96 64bit on 09.07.2020 at 18:18:56
_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.14 ua 4-2,_TSR4.5 solidity=0.14 ua 4-2,
Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],
5.00000e+01,6.61538e+01,5.00000e+01,8.19118e+01,
5.50000e+01,7.78313e+01,5.50000e+01,9.99127e+01,
6.00000e+01,9.89306e+01,6.00000e+01,1.15235e+02,
6.50000e+01,1.08814e+02,6.50000e+01,1.35104e+02,
7.00000e+01,1.30667e+02,7.00000e+01,1.57826e+02,
7.50000e+01,1.38667e+02,7.50000e+01,1.80428e+02,
8.00000e+01,1.46922e+02,8.00000e+01,1.97903e+02,
8.50000e+01,1.50257e+02,8.50000e+01,1.98075e+02,
9.00000e+01,1.48338e+02,9.00000e+01,1.96990e+02,
9.50000e+01,1.44734e+02,9.50000e+01,1.94587e+02,
1.00000e+02,1.37297e+02,1.00000e+02,1.78464e+02,
1.05000e+02,1.26774e+02,1.05000e+02,1.73688e+02,
1.10000e+02,1.13831e+02,1.10000e+02,1.44925e+02,
1.15000e+02,1.03015e+02,1.15000e+02,1.38413e+02,
1.20000e+02,9.01919e+01,1.20000e+02,1.17118e+02,
1.25000e+02,7.16150e+01,1.25000e+02,9.93999e+01,
1.30000e+02,6.16045e+01,1.30000e+02,7.62899e+01,
1.35000e+02,4.66304e+01,1.35000e+02,6.00384e+01,
1.40000e+02,3.93994e+01,1.40000e+02,4.99191e+01,
1.45000e+02,2.94131e+01,1.45000e+02,3.72952e+01,
1.50000e+02,2.18835e+01,1.50000e+02,2.46840e+01,
1.55000e+02,1.34558e+01,1.55000e+02,1.06392e+01,
1.60000e+02,4.19728e+00,1.60000e+02,-1.41951e+00,
1.65000e+02,-2.80803e+00,1.65000e+02,-1.01191e+01,
1.70000e+02,-7.68267e+00,1.70000e+02,-1.46126e+01,
1.75000e+02,-9.73016e+00,1.75000e+02,-1.44538e+01,
1.80000e+02,-8.31431e+00,1.80000e+02,-7.88268e+00,
1.85000e+02,-2.47237e+00,1.85000e+02,2.98126e+00,
1.90000e+02,4.50367e+00,1.90000e+02,1.55203e+01,
1.95000e+02,1.65734e+01,1.95000e+02,2.55070e+01,
2.00000e+02,2.48952e+01,2.00000e+02,3.47838e+01,
2.05000e+02,3.80595e+01,2.05000e+02,2.82897e+01,
2.10000e+02,6.64118e+01,2.10000e+02,2.66142e+01,
